sample_alias	experiment_name	subject_id	timepoint
PNPV__6575	ERR1110344	PNP_6575	0
PNPV__6558	ERR1110436	PNP_6558	0
PNPV__6564	ERR1110354	PNP_6564	0
PNPV__6564	ERR1110437	PNP_6564	0
PNPV__6574	ERR1110355	PNP_6574	0
PNPV__6562	ERR1110345	PNP_6562	0
PNPV__6561	ERR1110346	PNP_6561	0
PNPV__6579	ERR1110347	PNP_6579	0
PNPV__6580	ERR1110356	PNP_6580	0
PNPV__6580	ERR1110438	PNP_6580	0
PNPV__6585	ERR1110439	PNP_6585	0
PNPV__6587	ERR1110357	PNP_6587	0
PNPV__6587	ERR1110440	PNP_6587	0
PNPV__6584	ERR1110348	PNP_6584	0
PNPV__6593	ERR1110349	PNP_6593	0
PNPV__6607	ERR1110350	PNP_6607	0
PNPV__6605	ERR1110358	PNP_6605	0
PNPV__6626	ERR1110351	PNP_6626	0
PNPV__6604	ERR1110359	PNP_6604	0
PNPV__6644	ERR1110441	PNP_6644	0
PNPV__6621	ERR1110360	PNP_6621	0
PNPV__6628	ERR1110361	PNP_6628	0
PNPV__6603	ERR1110362	PNP_6603	0
PNPV__6599	ERR1110442	PNP_6599	0
PNPV__6598	ERR1110443	PNP_6598	0
PNPV__6600	ERR1110444	PNP_6600	0
PNPV__6618	ERR1110445	PNP_6618	0
PNPV__6614	ERR1110446	PNP_6614	0
PNPV__6613	ERR1110447	PNP_6613	0
PNPV__6610	ERR1110448	PNP_6610	0
PNPV__6609	ERR1110449	PNP_6609	0
PNPV__6635	ERR1110450	PNP_6635	0
PNPV__6632	ERR1110363	PNP_6632	0
PNPV__6636	ERR1110364	PNP_6636	0
PNPV__6638	ERR1110365	PNP_6638	0
PNPV__6638	ERR1110451	PNP_6638	0
PNPV__6637	ERR1110366	PNP_6637	0
PNPV__6641	ERR1110452	PNP_6641	0
PNPV__6639	ERR1110453	PNP_6639	0
PNPV__6646	ERR1110454	PNP_6646	0
PNPV__6643	ERR1110455	PNP_6643	0
PNPV__6643	ERR1110469	PNP_6643	0
PNPV__6649	ERR1110456	PNP_6649	0
PNPV__6649	ERR1110470	PNP_6649	0
PNPV__6634	ERR1110457	PNP_6634	0
PNPV__6634	ERR1110471	PNP_6634	0
PNPV__6623	ERR1110458	PNP_6623	0
PNPV__6663	ERR1110459	PNP_6663	0
PNPV__6660	ERR1110460	PNP_6660	0
PNPV__6660	ERR1110472	PNP_6660	0
PNPV__6661	ERR1110461	PNP_6661	0
PNPV__6661	ERR1110473	PNP_6661	0
PNPV__6659	ERR1110462	PNP_6659	0
PNPV__6675	ERR1110463	PNP_6675	0
PNPV__6678	ERR1110464	PNP_6678	0
PNPV__6705	ERR1110465	PNP_6705	0
PNPV__6705	ERR1110474	PNP_6705	0
PNPM__5466	ERR1136693	PNP_5466	0
PNPM__5467	ERR1136694	PNP_5467	0
PNPM__5470	ERR1136695	PNP_5470	0
PNPM__5481	ERR1136696	PNP_5481	0
PNPM__5482	ERR1136697	PNP_5482	0
PNPM__5484	ERR1136698	PNP_5484	0
PNPM__5469	ERR1136699	PNP_5469	0
PNPM__5490	ERR1136700	PNP_5490	0
PNPM__5490	ERR1137229	PNP_5490	0
