plate	media	time	Variable	condition	strainID	species	replicate	OD_adjusted
P1	WCA	14	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.135
P1	WCA	14	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.145
P1	WCA	14	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.138
P1	WCA	14	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.121
P1	WCA	15	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.047
P1	WCA	15	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.024
P1	WCA	15	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.047
P1	WCA	15	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	15	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.036
P1	WCA	15	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.022
P1	WCA	15	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.166
P1	WCA	15	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.157
P1	WCA	15	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.156
P1	WCA	15	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.144
P1	WCA	15	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.14
P1	WCA	15	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.128
P1	WCA	16	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.055
P1	WCA	16	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.024
P1	WCA	16	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.03
P1	WCA	16	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	16	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.039
P1	WCA	16	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.021
P1	WCA	16	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.177
P1	WCA	16	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.169
P1	WCA	16	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.157
P1	WCA	16	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.141
P1	WCA	16	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.148
P1	WCA	16	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.137
P1	WCA	17	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.015
P1	WCA	17	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.027
P1	WCA	17	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.036
P1	WCA	17	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	17	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.048
P1	WCA	17	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.021
P1	WCA	17	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.197
P1	WCA	17	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.177
P1	WCA	17	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.174
P1	WCA	17	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.137
P1	WCA	17	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.159
P1	WCA	17	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.153
P1	WCA	18	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.021
