sampleID	genus	relAb	Income status
CM_D15_M0_18	g__Bacteroides	0.0030295782508171815	LMIS
CM_D21_M0_18	g__Bacteroides	0.02752356235486955	LMIS
CM_D24_M0_18	g__Bacteroides	0.004104390923875156	LMIS
CM_D26_M0_18	g__Bacteroides	0.02209029407703987	LMIS
CM_D33_M0_18	g__Bacteroides	0.005601587116349621	LMIS
CM_D39_M0_18	g__Bacteroides	0.020572840942134324	LMIS
CM_D40_M0_18	g__Bacteroides	0.01138986079059033	LMIS
CM_D43_M0_18	g__Bacteroides	0.011146496815286623	LMIS
CM_D48_M0_18	g__Bacteroides	0.007310357922719059	LMIS
CM_D50_M0_18	g__Bacteroides	0.03498063923344489	LMIS
DRR127488	g__Bacteroides	0.030439148126618378	HIS
DRR127524	g__Bacteroides	0.0275937554006567	HIS
DRR127532	g__Bacteroides	0.14206283013622462	HIS
DRR127535	g__Bacteroides	0.06695801467145307	HIS
DRR127537	g__Bacteroides	0.1320524017467249	HIS
DRR127546	g__Bacteroides	0.309378480730675	HIS
DRR127552	g__Bacteroides	0.508740564163687	HIS
DRR127583	g__Bacteroides	0.2783097153070343	HIS
DRR127588	g__Bacteroides	0.36178688291364347	HIS
DRR127596	g__Bacteroides	0.02259180926744855	HIS
DRR127597	g__Bacteroides	0.0778549067646658	HIS
DRR127613	g__Bacteroides	0.03570708089570301	HIS
DRR127616	g__Bacteroides	0.3068863701304886	HIS
DRR127619	g__Bacteroides	0.5505425471159338	HIS
DRR127628	g__Bacteroides	0.26540030049366814	HIS
DRR127634	g__Bacteroides	0.3690216479275046	HIS
DRR127649	g__Bacteroides	0.15609310816978547	HIS
DRR127672	g__Bacteroides	0.5263400399324221	HIS
DRR127683	g__Bacteroides	0.519709827539009	HIS
DRR127692	g__Bacteroides	0.0795814066682891	HIS
DRR127704	g__Bacteroides	0.467065868263473	HIS
DRR127707	g__Bacteroides	0.4555954576336989	HIS
DRR127713	g__Bacteroides	0.6301860785665059	HIS
DRR127721	g__Bacteroides	0.4333414872798434	HIS
DRR127724	g__Bacteroides	0.4386489479512735	HIS
DRR127728	g__Bacteroides	0.6608649225840897	HIS
DRR127731	g__Bacteroides	0.40954319312528265	HIS
DRR127736	g__Bacteroides	0.5632335487274165	HIS
DRR127748	g__Bacteroides	0.19828183455729526	HIS
DRR127751	g__Bacteroides	7.532182963571624e-4	HIS
DRR127752	g__Bacteroides	0.25616921269095183	HIS
DRR127755	g__Bacteroides	0.18780537459283383	HIS
DRR127756	g__Bacteroides	0.15069860279441116	HIS
DRR127762	g__Bacteroides	0.17512622907254846	HIS
DRR127763	g__Bacteroides	0.21841915921471886	HIS
DRR127776	g__Bacteroides	0.07972192127121704	HIS
DRR127777	g__Bacteroides	0.18028966206092892	HIS
DRR162775	g__Bacteroides	0.4731551561021759	HIS
DRR162776	g__Bacteroides	0.52328382175833	HIS
DRR171467	g__Bacteroides	0.02176470588235292	HIS
DRR171469	g__Bacteroides	0.2018105991252161	HIS
DRR171474	g__Bacteroides	0.5418921844555098	HIS
DRR171477	g__Bacteroides	0.34283697953422726	HIS
DRR171479	g__Bacteroides	0.08824097316084183	HIS
DRR171487	g__Bacteroides	0.218694885361552	HIS
DRR171488	g__Bacteroides	0.0693019343986543	HIS
DRR171497	g__Bacteroides	0.3973312089225254	HIS
DRR171499	g__Bacteroides	0.15790944661822243	HIS
DRR171500	g__Bacteroides	0.1726856561546287	HIS
DRR171503	g__Bacteroides	0.4471418732782369	HIS
DRR171506	g__Bacteroides	0.41644757598064985	HIS
