media,condition,species,g,plate,time,strainID,strain,well,time_h,batch,OD,replicate,medium_batch
GMM+LAB,Without mucin,A. muciniphila,B7P5,P5,28,DSM22959,"A. muciniphila
(DSM22959)",B7,28,1,0,2,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,B7P5,P5,29,DSM22959,"A. muciniphila
(DSM22959)",B7,29,1,0,2,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,B7P5,P5,30,DSM22959,"A. muciniphila
(DSM22959)",B7,30,1,0,2,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,0.5,DSM22959,"A. muciniphila
(DSM22959)",A7,0.5,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,1,DSM22959,"A. muciniphila
(DSM22959)",A7,1,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,2,DSM22959,"A. muciniphila
(DSM22959)",A7,2,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,3,DSM22959,"A. muciniphila
(DSM22959)",A7,3,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,4,DSM22959,"A. muciniphila
(DSM22959)",A7,4,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,5,DSM22959,"A. muciniphila
(DSM22959)",A7,5,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,6,DSM22959,"A. muciniphila
(DSM22959)",A7,6,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,7,DSM22959,"A. muciniphila
(DSM22959)",A7,7,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,8,DSM22959,"A. muciniphila
(DSM22959)",A7,8,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,9,DSM22959,"A. muciniphila
(DSM22959)",A7,9,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,10,DSM22959,"A. muciniphila
(DSM22959)",A7,10,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,11,DSM22959,"A. muciniphila
(DSM22959)",A7,11,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,12,DSM22959,"A. muciniphila
(DSM22959)",A7,12,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,13,DSM22959,"A. muciniphila
(DSM22959)",A7,13,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,14,DSM22959,"A. muciniphila
(DSM22959)",A7,14,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,15,DSM22959,"A. muciniphila
(DSM22959)",A7,15,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,16,DSM22959,"A. muciniphila
(DSM22959)",A7,16,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,17,DSM22959,"A. muciniphila
(DSM22959)",A7,17,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,18,DSM22959,"A. muciniphila
(DSM22959)",A7,18,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,19,DSM22959,"A. muciniphila
(DSM22959)",A7,19,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,20,DSM22959,"A. muciniphila
(DSM22959)",A7,20,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,21,DSM22959,"A. muciniphila
(DSM22959)",A7,21,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,22,DSM22959,"A. muciniphila
(DSM22959)",A7,22,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,23,DSM22959,"A. muciniphila
(DSM22959)",A7,23,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,24,DSM22959,"A. muciniphila
(DSM22959)",A7,24,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,25,DSM22959,"A. muciniphila
(DSM22959)",A7,25,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,26,DSM22959,"A. muciniphila
(DSM22959)",A7,26,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,27,DSM22959,"A. muciniphila
(DSM22959)",A7,27,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,28,DSM22959,"A. muciniphila
(DSM22959)",A7,28,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,29,DSM22959,"A. muciniphila
(DSM22959)",A7,29,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,A7P5,P5,30,DSM22959,"A. muciniphila
(DSM22959)",A7,30,1,0,1,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,0.5,DSM22959,"A. muciniphila
(DSM22959)",C7,0.5,1,0.001800000000000002,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,1,DSM22959,"A. muciniphila
(DSM22959)",C7,1,1,0.004799999999999976,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,2,DSM22959,"A. muciniphila
(DSM22959)",C7,2,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,3,DSM22959,"A. muciniphila
(DSM22959)",C7,3,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,4,DSM22959,"A. muciniphila
(DSM22959)",C7,4,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,5,DSM22959,"A. muciniphila
(DSM22959)",C7,5,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,6,DSM22959,"A. muciniphila
(DSM22959)",C7,6,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,7,DSM22959,"A. muciniphila
(DSM22959)",C7,7,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,8,DSM22959,"A. muciniphila
(DSM22959)",C7,8,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,9,DSM22959,"A. muciniphila
(DSM22959)",C7,9,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,10,DSM22959,"A. muciniphila
(DSM22959)",C7,10,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,11,DSM22959,"A. muciniphila
(DSM22959)",C7,11,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,12,DSM22959,"A. muciniphila
(DSM22959)",C7,12,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,13,DSM22959,"A. muciniphila
(DSM22959)",C7,13,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,14,DSM22959,"A. muciniphila
(DSM22959)",C7,14,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,15,DSM22959,"A. muciniphila
(DSM22959)",C7,15,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,16,DSM22959,"A. muciniphila
(DSM22959)",C7,16,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,17,DSM22959,"A. muciniphila
(DSM22959)",C7,17,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,18,DSM22959,"A. muciniphila
(DSM22959)",C7,18,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,19,DSM22959,"A. muciniphila
(DSM22959)",C7,19,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,20,DSM22959,"A. muciniphila
(DSM22959)",C7,20,1,0,3,GMM+LAB
GMM+LAB,Without mucin,A. muciniphila,C7P5,P5,21,DSM22959,"A. muciniphila
(DSM22959)",C7,21,1,0,3,GMM+LAB
