Genus	cazy_family	mean	sd	numberGenomes	Phylum
Hungatella (66)	GH136	3.4393939393939394	1.216916505305841	66	Firmicutes
Hungatella (66)	GH16	0.6212121212121212	0.5193235693640043	66	Firmicutes
Hungatella (66)	GH18	2.0303030303030303	0.428582528438787	66	Firmicutes
Hungatella (66)	GH2	16.96969696969697	3.35109487031281	66	Firmicutes
Hungatella (66)	GH20	3.196969696969697	0.9481917522672294	66	Firmicutes
Hungatella (66)	GH27	0.015151515151515152	0.12309149097933274	66	Firmicutes
Hungatella (66)	GH29	2.757575757575758	1.0962959462958906	66	Firmicutes
Hungatella (66)	GH31	6.2272727272727275	1.4966162299868793	66	Firmicutes
Hungatella (66)	GH33	1.0454545454545454	0.408818868366991	66	Firmicutes
Hungatella (66)	GH35	1.3181818181818181	1.2172995448196726	66	Firmicutes
Hungatella (66)	GH36	4.712121212121212	0.9886300002474522	66	Firmicutes
Hungatella (66)	GH42	2.712121212121212	0.779845182173044	66	Firmicutes
Hungatella (66)	GH84	0	0	66	Firmicutes
Hungatella (66)	GH85	0	0	66	Firmicutes
Hungatella (66)	GH89	0	0	66	Firmicutes
Hungatella (66)	GH92	0	0	66	Firmicutes
Hungatella (66)	GH95	0.2727272727272727	0.44877455520405946	66	Firmicutes
Hungatella (66)	GH97	0.10606060606060606	0.3102747109746398	66	Firmicutes
Parabacteroides (2953)	CBM32	1.5015238740264139	0.9439299627526805	2953	Bacteroidetes
Parabacteroides (2953)	CBM51	1.7653233999322722	0.5088542300336364	2953	Bacteroidetes
Parabacteroides (2953)	GH109	1.3054520826278362	0.6398261062955474	2953	Bacteroidetes
Parabacteroides (2953)	GH110	1.0247206230951575	0.38571871575140404	2953	Bacteroidetes
Parabacteroides (2953)	GH112	0.001015916017609211	0.031862638428485184	2953	Bacteroidetes
Parabacteroides (2953)	GH123	1.634270233660684	0.514364083785861	2953	Bacteroidetes
Parabacteroides (2953)	GH130	2.22316288520149	0.9290435057556748	2953	Bacteroidetes
Parabacteroides (2953)	GH136	0.16559431087030138	0.38695898590133665	2953	Bacteroidetes
Parabacteroides (2953)	GH16	1.25330172705723	0.591416215216492	2953	Bacteroidetes
Parabacteroides (2953)	GH18	0.028445648493057907	0.22512460079473515	2953	Bacteroidetes
Parabacteroides (2953)	GH2	13.150355570606163	5.220712674416326	2953	Bacteroidetes
Parabacteroides (2953)	GH20	6.940399593633593	2.1484151788353762	2953	Bacteroidetes
Parabacteroides (2953)	GH27	0.4524212665086353	0.5099169614449618	2953	Bacteroidetes
Parabacteroides (2953)	GH29	1.6600067727734507	1.6134435643850296	2953	Bacteroidetes
Parabacteroides (2953)	GH31	2.5103284795123604	0.7903412056402928	2953	Bacteroidetes
Parabacteroides (2953)	GH33	1.3528614967829327	0.860594409258319	2953	Bacteroidetes
Parabacteroides (2953)	GH35	0.9502201151371487	0.43151681366547356	2953	Bacteroidetes
Parabacteroides (2953)	GH36	1.7229935658652218	0.613590640860895	2953	Bacteroidetes
Parabacteroides (2953)	GH42	0.007111412123264477	0.08404303554921354	2953	Bacteroidetes
Parabacteroides (2953)	GH84	0.959701997968168	0.2718777783138183	2953	Bacteroidetes
Parabacteroides (2953)	GH85	0.0013545546901456147	0.04506312112186311	2953	Bacteroidetes
Parabacteroides (2953)	GH89	0.5834744327802235	0.9441865974115483	2953	Bacteroidetes
Parabacteroides (2953)	GH92	13.147307822553335	1.795330541652543	2953	Bacteroidetes
Parabacteroides (2953)	GH95	1.6346088723332204	1.1994159279304606	2953	Bacteroidetes
Parabacteroides (2953)	GH97	2.7406027768371146	0.8813987342162022	2953	Bacteroidetes
Paraprevotella (515)	CBM32	4.213592233009709	1.119776984439844	515	Bacteroidetes
Paraprevotella (515)	CBM51	1.4194174757281552	0.6197241529616574	515	Bacteroidetes
Paraprevotella (515)	GH109	0.02330097087378641	0.223695476149249	515	Bacteroidetes
Paraprevotella (515)	GH110	0.9786407766990292	0.3203993390541273	515	Bacteroidetes
Paraprevotella (515)	GH112	0.001941747572815534	0.044065264923923174	515	Bacteroidetes
Paraprevotella (515)	GH123	0.007766990291262136	0.08787296320884495	515	Bacteroidetes
Paraprevotella (515)	GH130	0.04660194174757282	0.3713513900068714	515	Bacteroidetes
Paraprevotella (515)	GH136	0.9669902912621359	0.17883559255991915	515	Bacteroidetes
Paraprevotella (515)	GH16	0.04271844660194175	0.3089463522830816	515	Bacteroidetes
Paraprevotella (515)	GH18	0.05242718446601942	0.5059653215908806	515	Bacteroidetes
Paraprevotella (515)	GH2	15.636893203883496	1.4808104765839303	515	Bacteroidetes
Paraprevotella (515)	GH20	0.36699029126213595	0.8525982661297773	515	Bacteroidetes
Paraprevotella (515)	GH27	0.46990291262135925	0.5721886017766985	515	Bacteroidetes
Paraprevotella (515)	GH29	4.238834951456311	0.8927107550384016	515	Bacteroidetes
Paraprevotella (515)	GH31	3.18252427184466	1.0352190302335016	515	Bacteroidetes
Paraprevotella (515)	GH33	0.019417475728155338	0.18612276419501272	515	Bacteroidetes
Paraprevotella (515)	GH35	1.4446601941747572	0.5904110807137127	515	Bacteroidetes
Paraprevotella (515)	GH36	2.087378640776699	0.40681921042511204	515	Bacteroidetes
Paraprevotella (515)	GH42	0.18640776699029127	0.394773378247596	515	Bacteroidetes
Paraprevotella (515)	GH84	0.007766990291262136	0.10776227654778181	515	Bacteroidetes
Paraprevotella (515)	GH85	0	0	515	Bacteroidetes
Paraprevotella (515)	GH89	0.013592233009708738	0.14565599877268015	515	Bacteroidetes
Paraprevotella (515)	GH92	4.135922330097087	0.8914699932243725	515	Bacteroidetes
Paraprevotella (515)	GH95	3.1611650485436895	0.5322723129361807	515	Bacteroidetes
Paraprevotella (515)	GH97	6.285436893203883	1.0354051225954717	515	Bacteroidetes
